"Year","Country","Type","Indicator","Value"
2020,"Alaska","Baseline_2020","Marine_Red_List",0.041986421495676
2020,"Alaska","Baseline_2020","Marine_Living_Planet",0.0866653708275408
2020,"Alaska","Baseline_2020","Fisheries_Stock_Condition",0.0540256182895973
2020,"Alaska","Baseline_2020","Habitat_Condition",0.00658083211164922
2020,"Alaska","Baseline_2020","Effective_Protection",0.0679022809490561
2020,"Alaska","Baseline_2020","Small_Scale_Fisheries_Rights",0.0785348618403077
2020,"Alaska","Baseline_2020","Wealth_Relative_Index",0.0249684700742364
2020,"Alaska","Baseline_2020","Human_Development_Index",0.024872636445798
2020,"Alaska","Baseline_2020","Climate_Adaptation_Plans",0.0735558403655887
2020,"Alaska","Baseline_2020","Habitat_Carbon_Storage",0.0846195757621899
2020,"Alaska","Baseline_2020","Carbon_Under_Effective_Protection",0.0843914708122611
2020,"Mexico","Baseline_2020","Marine_Red_List",0.035543467104435
2020,"Mexico","Baseline_2020","Marine_Living_Planet",0.052940575638786
2020,"Mexico","Baseline_2020","Fisheries_Stock_Condition",0.0819682518485934
2020,"Mexico","Baseline_2020","Habitat_Condition",0.0854369923705235
2020,"Mexico","Baseline_2020","Effective_Protection",0.0866189130349085
2020,"Mexico","Baseline_2020","Small_Scale_Fisheries_Rights",0.0542188289808109
2020,"Mexico","Baseline_2020","Wealth_Relative_Index",0.00431172808166593
2020,"Mexico","Baseline_2020","Human_Development_Index",0.0614953953772783
2020,"Mexico","Baseline_2020","Climate_Adaptation_Plans",0.0549279793864116
2020,"Mexico","Baseline_2020","Habitat_Carbon_Storage",0.0236872595502064
2020,"Mexico","Baseline_2020","Carbon_Under_Effective_Protection",0.0534759046975523
2020,"Colombia","Baseline_2020","Marine_Red_List",0.0392331253970042
2020,"Colombia","Baseline_2020","Marine_Living_Planet",0.0598638546885923
2020,"Colombia","Baseline_2020","Fisheries_Stock_Condition",0.070297950389795
2020,"Colombia","Baseline_2020","Habitat_Condition",0.0510411301394925
2020,"Colombia","Baseline_2020","Effective_Protection",0.079969711555168
2020,"Colombia","Baseline_2020","Small_Scale_Fisheries_Rights",0.0416547345230356
2020,"Colombia","Baseline_2020","Wealth_Relative_Index",0.0110678787576035
2020,"Colombia","Baseline_2020","Human_Development_Index",0.00317573207430542
2020,"Colombia","Baseline_2020","Climate_Adaptation_Plans",0.0346127043943852
2020,"Colombia","Baseline_2020","Habitat_Carbon_Storage",0.0704877850599587
2020,"Colombia","Baseline_2020","Carbon_Under_Effective_Protection",0.0302235261537135
2020,"Ecuador","Baseline_2020","Marine_Red_List",0.0171936832368374
2020,"Ecuador","Baseline_2020","Marine_Living_Planet",0.0937632332323119
2020,"Ecuador","Baseline_2020","Fisheries_Stock_Condition",0.0567748373607174
2020,"Ecuador","Baseline_2020","Habitat_Condition",0.020999805862084
2020,"Ecuador","Baseline_2020","Effective_Protection",0.0134996398352087
2020,"Ecuador","Baseline_2020","Small_Scale_Fisheries_Rights",0.0998882649000734
2020,"Ecuador","Baseline_2020","Wealth_Relative_Index",0.0703753812005743
2020,"Ecuador","Baseline_2020","Human_Development_Index",0.0146423544269055
2020,"Ecuador","Baseline_2020","Climate_Adaptation_Plans",0.0514965634793043
2020,"Ecuador","Baseline_2020","Habitat_Carbon_Storage",0.0107608830789104
2020,"Ecuador","Baseline_2020","Carbon_Under_Effective_Protection",0.0456518182065338
2020,"Peru","Baseline_2020","Marine_Red_List",0.0319642119342461
2020,"Peru","Baseline_2020","Marine_Living_Planet",0.0950724098365754
2020,"Peru","Baseline_2020","Fisheries_Stock_Condition",0.0721309266285971
2020,"Peru","Baseline_2020","Habitat_Condition",0.0375843436690047
2020,"Peru","Baseline_2020","Effective_Protection",0.0387498257681727
2020,"Peru","Baseline_2020","Small_Scale_Fisheries_Rights",0.0255673117004335
2020,"Peru","Baseline_2020","Wealth_Relative_Index",0.0939021238824353
2020,"Peru","Baseline_2020","Human_Development_Index",0.0703072973992676
2020,"Peru","Baseline_2020","Climate_Adaptation_Plans",0.0815767947584391
2020,"Peru","Baseline_2020","Habitat_Carbon_Storage",0.0779068868607283
2020,"Peru","Baseline_2020","Carbon_Under_Effective_Protection",0.0384342534467578
